"IDENTIFIER","CONCEPT_CODE","DEFINITION","value","PUBLIC_ID"
"getNextPvId()","","","Testis, NOS","Tissue_Site_PID"
"getNextPvId()","","","Undescended testis","Tissue_Site_PID"
"getNextPvId()","","","Descended testis","Tissue_Site_PID"
"getNextPvId()","","","Prostate gland","Tissue_Site_PID"
"getNextPvId()","","","Body of penis","Tissue_Site_PID"
"getNextPvId()","","","Penis, NOS","Tissue_Site_PID"
"getNextPvId()","","","Prepuce","Tissue_Site_PID"
"getNextPvId()","","","Glans penis","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of penis","Tissue_Site_PID"
"getNextPvId()","","","UNKNOWN PRIMARY SITE","Tissue_Site_PID"
"getNextPvId()","","","Peripheral nerves and Autonomic nervous system of upper limb and shoulder","Tissue_Site_PID"
"getNextPvId()","","","Autonomic nervous system, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of peripheral nerves and autonomic nervous system","Tissue_Site_PID"
"getNextPvId()","","","Peripheral nerves and Autonomic nervous system of thorax","Tissue_Site_PID"
"getNextPvId()","","","Peripheral nerves and Autonomic nervous system of trunk, NOS","Tissue_Site_PID"
"getNextPvId()","","","Peripheral nerves and Autonomic nervous system of lower limb and hip","Tissue_Site_PID"
"getNextPvId()","","","Peripheral nerves and Autonomic nervous system of head, face, and neck","Tissue_Site_PID"
"getNextPvId()","","","Peripheral nerves and Autonomic nervous system of abdomen","Tissue_Site_PID"
"getNextPvId()","","","Peripheral nerves and Autonomic nervous system of pelvis","Tissue_Site_PID"
"getNextPvId()","","","Corpus uteri","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of corpus uteri","Tissue_Site_PID"
"getNextPvId()","","","Myometrium","Tissue_Site_PID"
"getNextPvId()","","","Endometrium","Tissue_Site_PID"
"getNextPvId()","","","Fundus uteri","Tissue_Site_PID"
"getNextPvId()","","","Isthmus uteri","Tissue_Site_PID"
"getNextPvId()","","","Labium majus","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of vulva","Tissue_Site_PID"
"getNextPvId()","","","Labium minus","Tissue_Site_PID"
"getNextPvId()","","","Clitoris","Tissue_Site_PID"
"getNextPvId()","","","Vulva, NOS","Tissue_Site_PID"
"getNextPvId()","","","Ovary","Tissue_Site_PID"
"getNextPvId()","","","Uterus, NOS","Tissue_Site_PID"
"getNextPvId()","","","Exocervix","Tissue_Site_PID"
"getNextPvId()","","","Endocervix","Tissue_Site_PID"
"getNextPvId()","","","Cervix uteri","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of cervix uteri","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of female genital organs","Tissue_Site_PID"
"getNextPvId()","","","Fallopian tube","Tissue_Site_PID"
"getNextPvId()","","","Broad ligament","Tissue_Site_PID"
"getNextPvId()","","","Parametrium","Tissue_Site_PID"
"getNextPvId()","","","Round ligament","Tissue_Site_PID"
"getNextPvId()","","","Uterine adnexa","Tissue_Site_PID"
"getNextPvId()","","","Female genital tract, NOS","Tissue_Site_PID"
"getNextPvId()","","","Other specified parts of female genital organs","Tissue_Site_PID"
"getNextPvId()","","","Vagina, NOS","Tissue_Site_PID"
"getNextPvId()","","","Placenta","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of ill-defined sites","Tissue_Site_PID"
"getNextPvId()","","","Other ill-defined sites","Tissue_Site_PID"
"getNextPvId()","","","Lower limb, NOS","Tissue_Site_PID"
"getNextPvId()","","","Head, face or neck, NOS","Tissue_Site_PID"
"getNextPvId()","","","Abdomen, NOS","Tissue_Site_PID"
"getNextPvId()","","","Upper limb, NOS","Tissue_Site_PID"
"getNextPvId()","","","Pelvis, NOS","Tissue_Site_PID"
"getNextPvId()","","","Thorax, NOS","Tissue_Site_PID"
"getNextPvId()","","","Spleen","Tissue_Site_PID"
"getNextPvId()","","","Bone marrow","Tissue_Site_PID"
"getNextPvId()","","","Blood","Tissue_Site_PID"
"getNextPvId()","","","Reticuloendothelial system, NOS","Tissue_Site_PID"
"getNextPvId()","","","Hematopoietic system, NOS","Tissue_Site_PID"
"getNextPvId()","","","Specified parts of peritoneum","Tissue_Site_PID"
"getNextPvId()","","","Retroperitoneum","Tissue_Site_PID"
"getNextPvId()","","","Peritoneum, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of retroperitoneum and peritoneum","Tissue_Site_PID"
"getNextPvId()","","","Trachea","Tissue_Site_PID"
"getNextPvId()","","","Maxillary sinus","Tissue_Site_PID"
"getNextPvId()","","","Accessory sinus, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of accessory sinuses","Tissue_Site_PID"
"getNextPvId()","","","Frontal sinus","Tissue_Site_PID"
"getNextPvId()","","","Ethmoid sinus","Tissue_Site_PID"
"getNextPvId()","","","Sphenoid sinus","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of larynx","Tissue_Site_PID"
"getNextPvId()","","","Subglottis","Tissue_Site_PID"
"getNextPvId()","","","Larynx, NOS","Tissue_Site_PID"
"getNextPvId()","","","Glottis","Tissue_Site_PID"
"getNextPvId()","","","Supraglottis","Tissue_Site_PID"
"getNextPvId()","","","Laryngeal cartilage","Tissue_Site_PID"
"getNextPvId()","","","Middle ear","Tissue_Site_PID"
"getNextPvId()","","","Nasal cavity","Tissue_Site_PID"
"getNextPvId()","","","Pleura, NOS","Tissue_Site_PID"
"getNextPvId()","","","Anterior mediastinum","Tissue_Site_PID"
"getNextPvId()","","","Heart","Tissue_Site_PID"
"getNextPvId()","","","Posterior mediastinum","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of heart, mediastinum and pleura","Tissue_Site_PID"
"getNextPvId()","","","Mediastinum, NOS","Tissue_Site_PID"
"getNextPvId()","","","Lower lobe, lung","Tissue_Site_PID"
"getNextPvId()","","","Main bronchus","Tissue_Site_PID"
"getNextPvId()","","","Middle lobe, lung","Tissue_Site_PID"
"getNextPvId()","","","Upper lobe, lung","Tissue_Site_PID"
"getNextPvId()","","","Lung, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of lung","Tissue_Site_PID"
"getNextPvId()","","","Thymus","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of respiratory system and intrathoracic organs","Tissue_Site_PID"
"getNextPvId()","","","Ill-defined sites within respiratory system","Tissue_Site_PID"
"getNextPvId()","","","Upper respiratory tract, NOS","Tissue_Site_PID"
"getNextPvId()","","","Long bones of upper limb, scapula and associated joints","Tissue_Site_PID"
"getNextPvId()","","","Short bones of upper limb and associated joints","Tissue_Site_PID"
"getNextPvId()","","","Bone of limb, NOS","Tissue_Site_PID"
"getNextPvId()","","","Short bones of lower limb and associated joints","Tissue_Site_PID"
"getNextPvId()","","","Long bones of lower limb and associated joints","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of bones, joints and articular cartilage of limbs","Tissue_Site_PID"
"getNextPvId()","","","Bones of skull and face and associated joints","Tissue_Site_PID"
"getNextPvId()","","","Pelvic bones, Sacrum, Coccyx and associated joints","Tissue_Site_PID"
"getNextPvId()","","","Mandible","Tissue_Site_PID"
"getNextPvId()","","","Rib, Sternum, Clavicle and associated joints","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of bones, joints and articular cartilage","Tissue_Site_PID"
"getNextPvId()","","","Bone, NOS","Tissue_Site_PID"
"getNextPvId()","","","Vertebral column","Tissue_Site_PID"
"getNextPvId()","","","Aortic body and other paraganglia","Tissue_Site_PID"
"getNextPvId()","","","Pineal gland","Tissue_Site_PID"
"getNextPvId()","","","Pituitary gland","Tissue_Site_PID"
"getNextPvId()","","","Endocrine gland, NOS","Tissue_Site_PID"
"getNextPvId()","","","Parathyroid gland","Tissue_Site_PID"
"getNextPvId()","","","Craniopharyngeal duct","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of endocrine glands and related structures","Tissue_Site_PID"
"getNextPvId()","","","Carotid body","Tissue_Site_PID"
"getNextPvId()","","","Medulla of adrenal gland","Tissue_Site_PID"
"getNextPvId()","","","Adrenal gland, NOS","Tissue_Site_PID"
"getNextPvId()","","","Cortex of adrenal gland","Tissue_Site_PID"
"getNextPvId()","","","Thyroid gland","Tissue_Site_PID"
"getNextPvId()","","","Cerebral meninges","Tissue_Site_PID"
"getNextPvId()","","","Spinal meninges","Tissue_Site_PID"
"getNextPvId()","","","Meninges, NOS","Tissue_Site_PID"
"getNextPvId()","","","Connective, Subcutaneous and other Soft tissues of thorax","Tissue_Site_PID"
"getNextPvId()","","","Connective, Subcutaneous and other Soft tissues of upper limb and shoulder","Tissue_Site_PID"
"getNextPvId()","","","Connective, Subcutaneous and other Soft tissues, NOS","Tissue_Site_PID"
"getNextPvId()","","","Connective, Subcutaneous and other Soft tissues of lower limb and hip","Tissue_Site_PID"
"getNextPvId()","","","Connective, Subcutaneous and other Soft tissues of trunk, NOS","Tissue_Site_PID"
"getNextPvId()","","","Connective, Subcutaneous and other Soft tissues of abdomen","Tissue_Site_PID"
"getNextPvId()","","","Connective, Subcutaneous and other Soft tissues of head, face, and neck","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of connective, subcutaneous and other soft tissues","Tissue_Site_PID"
"getNextPvId()","","","Connective, Subcutaneous and other Soft tissues of pelvis","Tissue_Site_PID"
"getNextPvId()","","","Upper-outer quadrant of breast","Tissue_Site_PID"
"getNextPvId()","","","Central portion of breast","Tissue_Site_PID"
"getNextPvId()","","","Axillary tail of breast","Tissue_Site_PID"
"getNextPvId()","","","Lower-outer quadrant of breast","Tissue_Site_PID"
"getNextPvId()","","","Breast, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of breast","Tissue_Site_PID"
"getNextPvId()","","","Lower-inner quadrant of breast","Tissue_Site_PID"
"getNextPvId()","","","Upper-inner quadrant of breast","Tissue_Site_PID"
"getNextPvId()","","","Nipple","Tissue_Site_PID"
"getNextPvId()","","","Waldeyer's ring","Tissue_Site_PID"
"getNextPvId()","","","Laryngopharynx","Tissue_Site_PID"
"getNextPvId()","","","Pharynx, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of lip, oral cavity and pharynx","Tissue_Site_PID"
"getNextPvId()","","","Tonsil, NOS","Tissue_Site_PID"
"getNextPvId()","","","Tonsillar pillar","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of tonsil","Tissue_Site_PID"
"getNextPvId()","","","Tonsillar fossa","Tissue_Site_PID"
"getNextPvId()","","","Pyriform sinus","Tissue_Site_PID"
"getNextPvId()","","","Gum, NOS","Tissue_Site_PID"
"getNextPvId()","","","Upper gum","Tissue_Site_PID"
"getNextPvId()","","","Lower gum","Tissue_Site_PID"
"getNextPvId()","","","Dorsal surface of tongue, NOS","Tissue_Site_PID"
"getNextPvId()","","","Ventral surface of tongue, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of tongue","Tissue_Site_PID"
"getNextPvId()","","","Tongue, NOS","Tissue_Site_PID"
"getNextPvId()","","","Border of tongue","Tissue_Site_PID"
"getNextPvId()","","","Lingual tonsil","Tissue_Site_PID"
"getNextPvId()","","","Anterior 2/3 of tongue, NOS","Tissue_Site_PID"
"getNextPvId()","","","Palate, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of palate","Tissue_Site_PID"
"getNextPvId()","","","Soft palate, NOS","Tissue_Site_PID"
"getNextPvId()","","","Uvula","Tissue_Site_PID"
"getNextPvId()","","","Hard palate","Tissue_Site_PID"
"getNextPvId()","","","Submandibular gland","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of major salivary glands","Tissue_Site_PID"
"getNextPvId()","","","Major salivary gland, NOS","Tissue_Site_PID"
"getNextPvId()","","","Sublingual gland","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of hypopharynx","Tissue_Site_PID"
"getNextPvId()","","","Posterior wall of hypopharynx","Tissue_Site_PID"
"getNextPvId()","","","Hypopharynx, NOS","Tissue_Site_PID"
"getNextPvId()","","","Postcricoid region","Tissue_Site_PID"
"getNextPvId()","","","Hypopharyngeal aspect of aryepiglottic fold","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of oropharynx","Tissue_Site_PID"
"getNextPvId()","","","Branchial cleft","Tissue_Site_PID"
"getNextPvId()","","","Posterior wall of oropharynx","Tissue_Site_PID"
"getNextPvId()","","","Anterior surface of epiglottis","Tissue_Site_PID"
"getNextPvId()","","","Oropharynx, NOS","Tissue_Site_PID"
"getNextPvId()","","","Vallecula","Tissue_Site_PID"
"getNextPvId()","","","Lateral wall of oropharynx","Tissue_Site_PID"
"getNextPvId()","","","Lip, NOS","Tissue_Site_PID"
"getNextPvId()","","","Mucosa of upper lip","Tissue_Site_PID"
"getNextPvId()","","","Mucosa of lower lip","Tissue_Site_PID"
"getNextPvId()","","","Commissure of lip","Tissue_Site_PID"
"getNextPvId()","","","External upper lip","Tissue_Site_PID"
"getNextPvId()","","","Mucosa of lip, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of lip","Tissue_Site_PID"
"getNextPvId()","","","External lip, NOS","Tissue_Site_PID"
"getNextPvId()","","","External lower lip","Tissue_Site_PID"
"getNextPvId()","","","Parotid gland","Tissue_Site_PID"
"getNextPvId()","","","Base of tongue, NOS","Tissue_Site_PID"
"getNextPvId()","","","Lateral floor of mouth","Tissue_Site_PID"
"getNextPvId()","","","Anterior floor of mouth","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of floor of mouth","Tissue_Site_PID"
"getNextPvId()","","","Floor of mouth, NOS","Tissue_Site_PID"
"getNextPvId()","","","Posterior wall of nasopharynx","Tissue_Site_PID"
"getNextPvId()","","","Superior wall of nasopharynx","Tissue_Site_PID"
"getNextPvId()","","","Nasopharynx, NOS","Tissue_Site_PID"
"getNextPvId()","","","Lateral wall of nasopharynx","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of nasopharynx","Tissue_Site_PID"
"getNextPvId()","","","Anterior wall of nasopharynx","Tissue_Site_PID"
"getNextPvId()","","","Vestibule of mouth","Tissue_Site_PID"
"getNextPvId()","","","Retromolar area","Tissue_Site_PID"
"getNextPvId()","","","Cheek mucosa","Tissue_Site_PID"
"getNextPvId()","","","Mouth, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of other and unspecified parts of mouth","Tissue_Site_PID"
"getNextPvId()","","","Lymph nodes of head, face and neck","Tissue_Site_PID"
"getNextPvId()","","","Lymph nodes of axilla or arm","Tissue_Site_PID"
"getNextPvId()","","","Intrathoracic lymph nodes","Tissue_Site_PID"
"getNextPvId()","","","Lymph nodes of inguinal region or leg","Tissue_Site_PID"
"getNextPvId()","","","Pelvic lymph nodes","Tissue_Site_PID"
"getNextPvId()","","","Lymph node, NOS","Tissue_Site_PID"
"getNextPvId()","","","Lymph nodes of multiple regions","Tissue_Site_PID"
"getNextPvId()","","","Intra-abdominal lymph nodes","Tissue_Site_PID"
"getNextPvId()","","","Ureter","Tissue_Site_PID"
"getNextPvId()","","","Renal pelvis","Tissue_Site_PID"
"getNextPvId()","","","Kidney, NOS","Tissue_Site_PID"
"getNextPvId()","","","Urinary system, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of urinary organs","Tissue_Site_PID"
"getNextPvId()","","","Paraurethral gland","Tissue_Site_PID"
"getNextPvId()","","","Urethra","Tissue_Site_PID"
"getNextPvId()","","","Lateral wall of bladder","Tissue_Site_PID"
"getNextPvId()","","","Bladder, NOS","Tissue_Site_PID"
"getNextPvId()","","","Dome of bladder","Tissue_Site_PID"
"getNextPvId()","","","Anterior wall of bladder","Tissue_Site_PID"
"getNextPvId()","","","Ureteric orifice","Tissue_Site_PID"
"getNextPvId()","","","Posterior wall of bladder","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of bladder","Tissue_Site_PID"
"getNextPvId()","","","Bladder neck","Tissue_Site_PID"
"getNextPvId()","","","Trigone of bladder","Tissue_Site_PID"
"getNextPvId()","","","Urachus","Tissue_Site_PID"
"getNextPvId()","","","Brain, NOS","Tissue_Site_PID"
"getNextPvId()","","","Brain stem","Tissue_Site_PID"
"getNextPvId()","","","Occipital lobe","Tissue_Site_PID"
"getNextPvId()","","","Cerebrum","Tissue_Site_PID"
"getNextPvId()","","","Parietal lobe","Tissue_Site_PID"
"getNextPvId()","","","Cerebellum, NOS","Tissue_Site_PID"
"getNextPvId()","","","Ventricle, NOS","Tissue_Site_PID"
"getNextPvId()","","","Frontal lobe","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of brain","Tissue_Site_PID"
"getNextPvId()","","","Temporal lobe","Tissue_Site_PID"
"getNextPvId()","","","Nervous system, NOS","Tissue_Site_PID"
"getNextPvId()","","","Acoustic nerve","Tissue_Site_PID"
"getNextPvId()","","","Cranial nerve, NOS","Tissue_Site_PID"
"getNextPvId()","","","Cauda equina","Tissue_Site_PID"
"getNextPvId()","","","Spinal cord","Tissue_Site_PID"
"getNextPvId()","","","Optic nerve","Tissue_Site_PID"
"getNextPvId()","","","Olfactory nerve","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of brain and central nervous system","Tissue_Site_PID"
"getNextPvId()","","","Conjunctiva","Tissue_Site_PID"
"getNextPvId()","","","Eye, NOS","Tissue_Site_PID"
"getNextPvId()","","","Overlapping lesion of eye and adnexa","Tissue_Site_PID"
"getNextPvId()","","","Choroid","Tissue_Site_PID"
"getNextPvId()","","","Retina","Tissue_Site_PID"
"getNextPvId()","","","Cornea, NOS","Tissue_Site_PID"
"getNextPvId()","","","Ciliary body","Tissue_Site_PID"
"getNextPvId()","","","Lacrimal gland","Tissue_Site_PID"
"getNextPvId()","","","EYE AND ADNEXA","Tissue_Site_PID"
"getNextPvId()","","","Orbit, NOS","Tissue_Site_PID"
"getNextPvId()","","","Not Specified","Tissue_Site_PID"
